collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,C,Java,Ruby,Assembly,C++,JavaScript,ActionScript,HTML,CSS,TSQL,Objective-C,Other,OCaml,Shell,TypeScript,Dockerfile,Go,Lex,Groovy,ANTLR,Batchfile,CoffeeScript,Tcl,Makefile,CMake,Python,PHP,Gherkin,Vim Snippet,Puppet,C#,Yacc,Vue,Swift,Roff,PowerShell,OpenSCAD,MATLAB,FreeMarker,PLpgSQL,Fortran,Csound,M,GLSL,Verilog,Lua,Perl,Awk,TeX,XSLT,Jupyter Notebook,R,Gnuplot,GAP,Scilab,Emacs Lisp,Objective-C++,Vim script,CWeb,YASnippet,Clojure,Inno Setup,Reason,Common Lisp,Rust,Starlark,Cuda,PureBasic,Scala
Keeping user data safe,git-secrets,awslabs,7667,636,173,,104,3,0,6,22,49.0,46.0,21,55,,,,,,,,,,,,,,65.0,,,,,,,,,,1.0,,,,,,,,,,,31.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,Stethoscope,GliaX,582,77,94,,185,6,0,0,11,8.0,36.0,3,8,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,hospitalrun-frontend,HospitalRun,5266,1668,353,,4778,11,0,6,174,16.0,778.0,7,1291,,,,,,,,,,,,1.0,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,alex,get-alex,3515,204,69,547.0,246,3,0,25,27,9.0,153.0,4,107,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,talk,coralproject,1456,289,52,,1429,30,0,116,21,24.0,543.0,8,2401,,,,,,1.0,,0.0,5.0,,,,,0.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,tasking-manager,hotosm,265,161,38,,2298,152,0,37,66,234.0,984.0,39,1833,,,,,,49.0,,,0.0,4.0,,0.0,,1.0,,,,,,,,,,,,44.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,OptiKey,OptiKey,3725,492,217,,3202,7,0,237,58,61.0,301.0,1,312,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,ifme,ifmeorg,1025,627,95,,3075,8,0,143,258,34.0,497.0,4,1234,,,65.0,,,20.0,,7.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,refugerestrooms,RefugeRestrooms,686,244,69,,1200,24,0,15,58,45.0,199.0,4,373,,,63.0,,,11.0,,15.0,9.0,,,,,0.0,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Impact,florence-api,hurricane-response,20,13,8,,464,6,0,6,31,18.0,36.0,1,58,,,76.0,,,2.0,,19.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
