collection,author,repository,stars,forks,watchers,dependents,commits,branches,packages,releases,contributors,issues_open,issues_closed,pull_requests_open,pull_requests_closed,Rust,Python,JavaScript,C++,Makefile,Shell,Other,TypeScript,HTML,CSS,Ruby,Roff,Swift,Dockerfile,CoffeeScript,Java,GAP,CMake,Go,Emacs Lisp,Vim script,Haskell,Batchfile,PowerShell,Perl,R,Jupyter Notebook,Scala,PostScript,PHP,ActionScript,QML,Objective-C,CartoCSS,C,Objective-C++,Clojure,Erlang,SuperCollider,Gherkin,Vue,PLpgSQL,TSQL,Lua,Groovy,Puppet,C#,Tcl,SaltStack,NSIS,Rich Text Format,Starlark,M,Jsonnet,Hack,GLSL,Kotlin,AppleScript,HLSL,Assembly,xBase,OpenEdge ABL,LilyPond,HiveQL,MLIR,Cuda,XSLT,IDL,Smarty,ASP,VCL,TeX
GitHub Browser Extensions,github-plusone-extension,ryanflorence,80,19.0,7,,25,1,0,3,5,2.0,2.0,2,6,,,93.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Browser Extensions,GitHub-userscripts,Mottie,735,80.0,32,,873,1,0,272,12,8.0,82.0,0,22,,,99.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Browser Extensions,octolenses,rgehan,62,10.0,4,,431,20,0,25,12,9.0,39.0,4,113,,,9.0,,,,0.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Browser Extensions,github-file-icon,homerchen19,796,50.0,7,,91,4,0,22,11,11.0,27.0,2,34,,,97.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Browser Extensions,GitHub-Dark,StylishThemes,8190,563.0,98,,5907,4,0,961,60,30.0,842.0,2,241,,,2.0,,,,0.0,,15.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Browser Extensions,wide-github,xthexder,182,59.0,15,,72,2,0,14,5,4.0,25.0,1,22,,,59.0,,2.0,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Browser Extensions,github_pr_tree,berzniz,253,44.0,3,,165,1,0,29,19,7.0,37.0,2,72,,,2.0,,,,0.0,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Browser Extensions,gifs-for-github,N1ck,21,5.0,1,,79,7,0,0,3,0.0,1.0,0,10,,,97.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Browser Extensions,Gitako,EnixCoda,214,19.0,7,,717,6,0,102,1,9.0,49.0,0,9,,,4.0,,0.0,,,87.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Browser Extensions,quickreview-for-github,vladgolubev,3,,0,,104,22,0,3,2,0.0,1.0,20,6,,,16.0,,,,,77.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Pages examples,bootstrap,twbs,141204,68942.0,7100,,19757,91,0,58,1118,301.0,19005.0,95,10929,,,48.0,,,,0.0,,19.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Pages examples,jekyll,jekyll,40564,8894.0,1500,,10963,47,0,142,906,88.0,4119.0,67,3809,,,4.0,,,0.0,0.0,,1.0,,71.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Pages examples,government.github.com,github,1078,728.0,232,,2537,8,0,0,316,3.0,61.0,1,737,,,7.0,,,4.0,,,59.0,7.0,17.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub Pages examples,electronjs.org,electron,1187,586.0,132,,8603,33,0,0,265,50.0,300.0,20,3679,,,38.0,,,0.0,,,38.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
